moisture,hour,days_since_water,temperature,air_humidity,needs_water
100,9,1.4224372337962963,25,60,1
100,9,1.4348056944444445,25,60,1
100,9,1.4355405092592592,25,60,1
100,9,1.4384964814814816,25,60,1
100,11,1.5210303587962963,25,60,1
100,12,1.542499548611111,25,60,1
99,23,0.00866244212962963,25,60,1
98,23,0.010781458333333334,25,60,1
98,23,0.011617824074074074,25,60,0
99,0,0.004610104166666667,25,60,1
24,0,0.000012719907407407407,25,60,1
24,0,0.00002767361111111111,25,60,1
90,11,0.0007496759259259259,25,60,0
93,13,0.0005173726851851852,25,60,1
24,14,0.0001066550925925926,25,60,1
24,14,0.00005162037037037037,25,60,1
24,14,0.0000534375,25,60,1
80,15,0.0004077662037037037,25,60,0
24,15,0.00005107638888888889,25,60,1
